Input TPS,Max Output TPS,Avg Output TPS,Max Block Time,Avg Block Time,TPS Variance,TPS Standard Deviation,Block Time Variance,Block Time Standard Deviation,Success TX,Failed TX,Percentage Failed TX,Test Delay (s),Expected Delay (s)
10,17.4,10.68,48.01,24.56,11.56,3.4,143.64,11.98,10000,0,,1020.0,1000.0
50,43.34,28.75,48.0,22.67,154.88,12.45,162.17,12.73,10000,0,,588.0,200.0
100,48.57,33.26,48.0,20.12,88.91,9.43,118.28,10.88,10000,0,,624.0,100.0
200,46.99,30.42,48.0,22.23,106.22,10.31,138.79,11.78,10000,0,,576.0,50.0
400,48.0,32.28,42.01,20.47,121.47,11.02,110.36,10.51,10000,0,,576.0,25.0
600,43.67,28.3,48.0,25.5,98.77,9.94,150.67,12.27,10000,0,,432.0,16.67
1000,44.24,28.82,48.0,23.29,136.44,11.68,156.15,12.5,10000,0,,540.0,10.0
1500,44.19,33.33,42.01,20.25,49.34,7.02,62.39,7.9,10000,0,,540.0,6.67
1800,40.58,28.0,42.01,24.38,76.58,8.75,74.06,8.61,10000,0,,396.0,5.56
2000,45.42,31.27,48.01,21.53,88.83,9.43,118.87,10.9,10000,0,,540.0,5.0
